date,title,description,file-link,web-link
"February 24, 2026",Stolen Credibility,"A strategic look at AI-generated financial commentary and deepfake authority. As the cost of producing convincing expert content collapses, the credibility of institutions and public figures becomes easier to exploit.",blogs/Substack/Stolen Credibility - by Richard Rumelt.pdf,https://rumelt.substack.com/p/stolen-credibility
"February 17, 2026",The Amelia Paradox,"An examination of how digital audiences can repurpose institutional narratives. A character designed to discourage extremist views is captured by online communities and turned into a viral meme, illustrating how control of meaning is lost in networked media.",blogs/Substack/The Amelia Paradox - by Richard Rumelt.pdf,https://rumelt.substack.com/p/the-amelia-paradox
"January 31, 2026",Tesla's Honorable Discharge,"A strategic interpretation of Tesla's quiet retreat from the Model S and Model X. The essay explores how companies sometimes ""honorably discharge"" legacy products that no longer fit the economic logic of the firm.",blogs/Substack/Tesla's Honorable Discharge - by Richard Rumelt.pdf,https://rumelt.substack.com/p/teslas-honorable-discharge
"January 29, 2026",The Shade of Strategy,"A reflection on Bruce Henderson's early essays and the origins of modern strategy thinking. Introduces the idea of short analytical ""perspectives"" as a way to clarify problems rather than produce plans.",blogs/Substack/The Shade of Strategy - by Richard Rumelt.pdf,https://rumelt.substack.com/p/the-shade-of-strategy
"January 29, 2026",The New Name: Rumelt Perspectives,An introduction to the publication's new title and its focus on strategy as diagnosis and problem solving rather than aspiration and planning.,blogs/Substack/The New Name_ Rumelt Perspectives - by Richard Rumelt.pdf,https://rumelt.substack.com/p/the-rumelt-perspectives
"September 9, 2025",Can California Build High-Speed Rail?,A diagnosis of California's troubled high-speed rail project. The essay highlights the institutional and organizational barriers that often derail large infrastructure initiatives.,blogs/Substack/Can California Build High-Speed Rail_ - by Richard Rumelt.pdf,https://rumelt.substack.com/p/can-california-build-high-speed-rail
"July 26, 2025",Becoming a Strategist (Part 3),The final essay in a three-part series on learning the craft of strategy. Focuses on identifying the crux of a problem and applying concentrated force at that point.,blogs/Substack/Becoming a Strategist (Part 3) - by Richard Rumelt.pdf,https://rumelt.substack.com/p/becoming-a-strategist-part-3
"May 24, 2025",Becoming a Strategist (Part 2),Examines the development of strategic judgment and the role of disciplined thinking and feedback in improving strategic capability.,blogs/Substack/Becoming a Strategist (Part 2 corrected).pdf,https://rumelt.substack.com/p/becoming-a-strategist-part-2-corrected
"May 14, 2025",Becoming a Strategist (Part 1),"Introduces the strategist's mindset: focusing on problems, recognizing constraints, and avoiding the trap of mistaking goals for strategy.",blogs/Substack/Becoming a Strategist (Part 1) - by Richard Rumelt.pdf,https://rumelt.substack.com/p/becoming-a-strategist-part-1
"May 5, 2025",A Strategist's Basic Bookshelf,"A curated reading list of books that illuminate the practice of strategy across business, history, and leadership.",blogs/Substack/A Strategist's Basic Bookshelf - by Richard Rumelt.pdf,https://rumelt.substack.com/p/a-strategists-basic-bookshelf
"April 22, 2025",The U.S. Needs an Office of Competitive Assessment,A proposal for a national institution dedicated to diagnosing strategic competition and long-term geopolitical challenges.,blogs/Substack/The U.S. Needs an Office of Competitive Assessment.pdf,https://rumelt.substack.com/p/the-us-needs-an-office-of-competitive
"April 16, 2025",Intel's Fall From Grace,An analysis of Intel's strategic decline and the organizational commitments that limited its ability to adapt to technological change.,blogs/Substack/Intel's Fall From Grace - by Richard Rumelt.pdf,https://rumelt.substack.com/p/intels-fall-from-grace
"April 10, 2025",The Standard Narrative,"A critique of the typical corporate strategy document, which often substitutes aspirations and narratives for real strategic choices.",blogs/Substack/The Standard Narrative - by Richard Rumelt.pdf,https://rumelt.substack.com/p/the-standard-narrative
"April 26, 2025",The Problem of Development,"An exploration of why many developing economies fail to generate sustained growth, focusing on institutional incentives and misallocation of talent.",blogs/Substack/The Problem of Development - by Richard Rumelt.pdf,https://rumelt.substack.com/p/the-problem-of-development
March 2025,The Logic of the Chain,"Explores chain-link systems where performance is limited by the weakest element, and why incremental improvements can sometimes reduce overall effectiveness.",blogs/Substack/The Logic of The Chain - by Richard Rumelt.pdf,https://rumelt.substack.com/p/the-logic-of-the-chain
March 2025,The Dark Side of Business,"Examines strategies that extract value rather than create it, and the broader social costs of competitive behavior that exploits rather than serves customers.",blogs/Substack/The Dark Side of Business - by Richard Rumelt.pdf,https://rumelt.substack.com/p/the-dark-side-of-business
March 2025,The Sound of a Domino Falling,On strategic inflection points and how to recognize when a competitive position is beginning to unravel.,blogs/Substack/The Sound of a Domino Falling - by Richard Rumelt.pdf,https://rumelt.substack.com/p/the-sound-of-a-domino-falling
March 2025,Strategy at an Inflection Point,"How major shifts in technology, markets, or regulation create both threats and opportunities for strategic repositioning.",blogs/Substack/Strategy at an Inflection Point - by Richard Rumelt.pdf,https://rumelt.substack.com/p/strategy-at-an-inflection-point
March 2025,Richard Helms Explains Skimming,A case study in how intelligence organizations and other institutions can be captured by internal interests that prioritize self-preservation over mission.,blogs/Substack/Richard Helms Explains Skimming - by Richard Rumelt.pdf,https://rumelt.substack.com/p/richard-helms-explains-skimming
March 2025,Is Management About People?,"Questions the popular view that management is primarily about motivating and developing people, arguing that strategic clarity about the work itself is the more fundamental challenge.",blogs/Substack/Is Management About People_ - by Richard Rumelt.pdf,https://rumelt.substack.com/p/is-management-about-people
March 2025,Distributed Knowledge,"On the competitive advantage that comes from knowledge that is embedded in organizational routines and relationships, and therefore difficult to imitate.",blogs/Substack/Distributed Knowledge - by Richard Rumelt.pdf,https://rumelt.substack.com/p/distributed-knowledge
March 2025,Blockbuster,"A strategic post-mortem on Blockbuster's failure to adapt to digital distribution, examining the internal logic that made change so difficult.",blogs/Substack/Blockbuster - by Richard Rumelt - The Rumelt Perspectives.pdf,https://rumelt.substack.com/p/blockbuster
